Player,Pos,Age,Team,Venue,GF,GA,Opponent,MatchID,Round,Date,Score,Start Time,End Time,Minutes Played,Start Result,End Result,Result,Points,MOTM,Status,influence,bonus,total_points,bps,PM,GFteam,GAteam,TeamGF,TeamGA,TeamPM,TeamResult,Start Elo,K,Q,End Elo,E_i,C_i,Rating Change,avg_match_bps,maxbps,avg_match_inf,maxinf,adjBonus
Leif Davis,LB,24.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,0.0,99.0,99,0-0,0-2,0.0,0.0,False,Other,14.8,0.0,1.0,-1.0,-2.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1679.5721730388132,0.4047234358865507,-0.5099195762592433,-16.336437799736714,10.612903225806452,38.0,12.406451612903227,58.0,0.04126807563959954
Jacob Greaves,CB,23.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,0.0,99.0,99,0-0,0-2,0.0,0.0,False,Other,26.2,0.0,1.0,12.0,-2.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1682.921341804579,0.4047234358865507,-0.5099195762592433,-12.98726903397099,10.612903225806452,38.0,12.406451612903227,58.0,0.23781979977753054
Luke Woolfenden,CB,25.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,0.0,99.0,99,0-0,0-2,0.0,0.0,False,Other,27.2,0.0,0.0,7.0,-2.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1683.2151285384182,0.4047234358865507,-0.5099195762592433,-12.693482300131892,10.612903225806452,38.0,12.406451612903227,58.0,0.2550611790878754
Axel Tuanzebe,RB,26.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,0.0,74.0,74,0-0,0-2,0.0,0.0,False,Other,7.8,0.0,1.0,1.0,-2.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1677.7125251732818,0.4047234358865507,-0.5099195762592433,-18.196085665268026,10.612903225806452,38.0,12.406451612903227,58.0,-0.07942157953281427
Sammie Szmodics,LW,28.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,74.0,99.0,25,0-2,0-2,0.5,1.0,False,Other,3.4,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1696.40491282355,0.4047234358865507,0.0240597384124872,0.49630198499984995,10.612903225806452,38.0,12.406451612903227,58.0,-0.1552836484983315
Christian Walton,GK,28.0,Ipswich,Home,0.0,2.0,Liverpool,2.0,1,2024-08-17,0–2,0.0,99.0,99,0-0,0-2,0.0,0.0,False,Other,28.2,0.0,2.0,9.0,-2.0,0.0,2.0,0.0,2.0,-2.0,L,1695.90861083855,32.0,1.0,1683.5089152722571,0.4047234358865507,-0.5099195762592433,-12.399695566292793,10.612903225806452,38.0,12.406451612903227,58.0,0.2723025583982202
Diogo Jota,FW,27.0,Liverpool,Away,2.0,0.0,Ipswich,2.0,1,2024-08-17,0–2,0.0,79.0,79,0-0,0-2,1.0,3.0,False,Other,36.8,0.0,8.0,24.0,2.0,0.0,2.0,2.0,0.0,2.0,W,1795.61744872955,32.0,1.0,1820.589636153987,0.5639883812426493,0.5493402164711245,24.97218742443686,10.612903225806452,38.0,12.406451612903227,58.0,0.42057842046718574
Cody Gakpo,FW,25.0,Liverpool,Away,2.0,0.0,Ipswich,2.0,1,2024-08-17,0–2,79.0,99.0,20,0-2,0-2,0.5,1.0,False,Sub,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,2.0,0.0,2.0,W,1810.6275781239,32.0,1.0,1809.9597118982317,0.5851060116814548,-0.017193133673021176,-0.6678662256682718,10.612903225806452,38.0,12.406451612903227,58.0,-0.21390433815350393
Luis Díaz,LW,27.0,Liverpool,Away,2.0,0.0,Ipswich,2.0,1,2024-08-17,0–2,0.0,99.0,99,0-0,0-2,1.0,3.0,False,Starter,9.6,0.0,3.0,13.0,2.0,0.0,2.0,2.0,0.0,2.0,W,1825.63770751825,32.0,1.0,1840.757400273714,0.6059155181412911,0.49651533413070165,15.119692755463946,10.612903225806452,38.0,12.406451612903227,58.0,-0.04838709677419358
Mohamed Salah,RW,32.0,Liverpool,Away,2.0,0.0,Ipswich,2.0,1,2024-08-17,0–2,0.0,99.0,99,0-0,0-2,1.0,3.0,True,Starter,58.0,3.0,14.0,38.0,2.0,0.0,2.0,2.0,0.0,2.0,W,1825.63770751825,32.0,1.0,1868.2052539661431,0.6059155181412911,0.49651533413070165,42.567546447893264,10.612903225806452,38.0,12.406451612903227,58.0,0.7860956618464962
Dominik Szoboszlai,AM,23.0,Liverpool,Away,2.0,0.0,Ipswich,2.0,1,2024-08-17,0–2,0.0,99.0,99,0-0,0-2,1.0,3.0,False,Starter,10.4,1.0,7.0,28.0,2.0,0.0,2.0,2.0,0.0,2.0,W,1825.63770751825,32.0,1.0,1840.976551869468,0.6059155181412911,0.49651533413070165,15.338844351218187,10.612903225806452,38.0,12.406451612903227,58.0,-0.034593993325917706
Alexis Mac Allister,DM,25.0,Liverpool,Away,2.0,0.0,Ipswich,2.0,1,2024-08-17,0–2,0.0,99.0,99,0-0,0-2,1.0,3.0,False,Starter,2.6,0.0,3.0,7.0,2.0,0.0,2.0,2.0,0.0,2.0,W,1825.63770751825,32.0,1.0,1838.8398238108643,0.6059155181412911,0.49651533413070165,13.20211629261434,10.612903225806452,38.0,12.406451612903227,58.0,-0.16907675194660737
Ryan Gravenberch,DM,22.0,Liverpool,Away,2.0,0.0,Ipswich,2.0,1,2024-08-17,0–2,0.0,99.0,99,0-0,0-2,1.0,3.0,False,Other,6.2,0.0,3.0,6.0,2.0,0.0,2.0,2.0,0.0,2.0,W,1795.61744872955,32.0,1.0,1811.3152578786676,0.5639883812426493,0.5493402164711245,15.697809149117465,10.612903225806452,38.0,12.406451612903227,58.0,-0.10700778642936598
Andrew Robertson,LB,30.0,Liverpool,Away,2.0,0.0,Ipswich,2.0,1,2024-08-17,0–2,0.0,79.0,79,0-0,0-2,1.0,3.0,False,Starter,12.0,0.0,6.0,24.0,2.0,0.0,2.0,2.0,0.0,2.0,W,1825.63770751825,32.0,1.0,1841.4148550609766,0.6059155181412911,0.49651533413070165,15.777147542726668,10.612903225806452,38.0,12.406451612903227,58.0,-0.00700778642936599
Kostas Tsimikas,LB,28.0,Liverpool,Away,2.0,0.0,Ipswich,2.0,1,2024-08-17,0–2,79.0,99.0,20,0-2,0-2,0.5,1.0,False,Other,1.4,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,W,1795.61744872955,32.0,1.0,1795.125287265641,0.5639883812426493,-0.012926945705585712,-0.4921614639090359,10.612903225806452,38.0,12.406451612903227,58.0,-0.18976640711902115
Virgil van Dijk,CB,33.0,Liverpool,Away,2.0,0.0,Ipswich,2.0,1,2024-08-17,0–2,0.0,99.0,99,0-0,0-2,1.0,3.0,False,Starter,8.8,0.0,6.0,24.0,2.0,0.0,2.0,2.0,0.0,2.0,W,1825.63770751825,32.0,1.0,1840.5382486779597,0.6059155181412911,0.49651533413070165,14.900541159709705,10.612903225806452,38.0,12.406451612903227,58.0,-0.06218020022246942
Jarell Quansah,CB,21.0,Liverpool,Away,2.0,0.0,Ipswich,2.0,1,2024-08-17,0–2,0.0,46.0,46,0-0,0-0,0.5,1.0,False,Sub,15.8,0.0,1.0,7.0,0.0,0.0,2.0,2.0,0.0,2.0,W,1810.6275781239,32.0,1.0,1809.4362022063403,0.5851060116814548,-0.039544207447948704,-1.1913759175597343,10.612903225806452,38.0,12.406451612903227,58.0,0.05850945494994437
Ibrahima Konaté,CB,25.0,Liverpool,Away,2.0,0.0,Ipswich,2.0,1,2024-08-17,0–2,46.0,99.0,53,0-0,0-2,1.0,3.0,False,Sub,14.2,0.0,1.0,12.0,2.0,0.0,2.0,2.0,0.0,2.0,W,1810.6275781239,32.0,1.0,1827.8723234768847,0.5851060116814548,0.5227336693573726,17.244745352984665,10.612903225806452,38.0,12.406451612903227,58.0,0.030923248053392617
Trent Alexander-Arnold,RB,25.0,Liverpool,Away,2.0,0.0,Ipswich,2.0,1,2024-08-17,0–2,0.0,77.0,77,0-0,0-2,1.0,3.0,False,Starter,9.0,2.0,8.0,31.0,2.0,0.0,2.0,2.0,0.0,2.0,W,1825.63770751825,32.0,1.0,1840.5930365768982,0.6059155181412911,0.49651533413070165,14.955329058648266,10.612903225806452,38.0,12.406451612903227,58.0,-0.05873192436040047
