Player,Pos,Age,Team,GP,MinOn,Win_pct,AdjPPG,End Elo,absDelta,relDelta,EPG,teamRank,Market Value
Wilfried Bony,M,29,Swansea,15,766,6.7,0.87,1672.0,3.0,0.17,0.3,4,10.0
Wilfried Zaha,F,25,CrystalPalace,29,2682,41.4,1.66,1840.0,195.0,11.87,4.1,1,30.0
Will Hughes,M,23,Watford,15,1029,33.3,1.2,1702.0,17.0,1.03,0.7,1,10.0
Willian,M,29,Chelsea,36,2010,33.3,1.5,1843.0,56.0,3.1,1.13,6,32.0
Willy Caballero,G,36,Chelsea,3,286,33.3,1.33,1816.0,-36.0,-1.97,-1.21,12,1.0
Winston Reid,D,29,WestHam,17,1538,23.5,1.0,1647.0,-30.0,-1.8,-0.6,21,7.0
Xherdan Shaqiri,F,26,Stoke,36,3175,16.7,0.92,1642.0,-31.0,-1.87,-0.41,18,18.0
Yannick Bolasie,F,28,Everton,16,889,25.0,1.19,1707.0,-26.0,-1.51,-0.5,17,18.0
Yaya Touré,M,34,ManCity,10,267,40.0,1.7,1831.0,-4.0,-0.22,0.12,24,2.5
Yohan Benalouane,D,31,Leicester,1,96,0.0,0.0,1705.0,0.0,0.0,0.36,14,1.0
Yohan Cabaye,M,32,CrystalPalace,31,2460,25.8,1.13,1690.0,25.0,1.5,0.64,12,10.0
Younès Kaboul,D,31,Watford,2,160,50.0,2.0,1680.0,21.0,1.26,1.28,8,2.0
Zlatan Ibrahimović,F,36,ManUnited,5,123,20.0,1.2,1785.0,-29.0,-1.57,-0.84,26,4.0
Àngel Rangel,D,35,Swansea,4,166,0.0,0.5,1635.0,-46.0,-2.76,-1.57,17,1.0
Álvaro Morata,F,25,Chelsea,31,2155,45.2,1.71,1848.0,42.0,2.35,0.97,4,65.0
Érik Lamela,F,26,Tottenham,25,924,32.0,1.52,1814.0,7.0,0.41,0.32,17,20.0
Étienne Capoue,M,29,Watford,23,1633,30.4,1.13,1631.0,-59.0,-3.5,-1.18,24,8.0
İlkay Gündoğan,M,27,ManCity,30,1612,50.0,1.9,1901.0,88.0,4.85,1.9,15,40.0
Łukasz Fabiański,G,33,Swansea,38,3605,21.1,0.87,1664.0,-20.0,-1.16,-0.21,7,5.0
